State,PerCapita,Total
Utah,18.7,38.1
Connecticut,20.2,54.2
Maryland,20.2,90.1
New Jersey,20.6,138
New York,21.9,327.5
Rhode Island,23,18.4
Indiana,23.4,112.7
Kentucky,23.6,77.1
Massachusetts,23.6,121.9
Arkansas,23.7,52
Georgia,24,179.6
Tennessee,24.4,120.8
Virginia,24.4,152.7
Washington,24.7,135.6
California,25.1,724.9
Oklahoma,25.1,70.7
Michigan,25.3,186.7
Kansas,25.7,53.2
Idaho,25.9,31.5
Alaska,26,14
Florida,26.3,423.1
Pennsylvania,26.4,254.1
Arizona,26.6,135.6
Ohio,27.3,234.7
Illinois,27.4,259.4
West Virginia,27.4,37.8
Missouri,27.7,125.6
Colorado,28.3,117.6
Minnesota,28.4,115.4
Hawaii,28.5,30.6
Delaware,28.7,20.7
New Mexico,28.8,43.8
Alabama,28.9,103.7
Wyoming,29.5,12.3
Louisiana,29.6,99.4
Oregon,30,95.4
Mississippi,30.9,66.6
South Carolina,30.9,115
Iowa,31.7,72
Texas,31.8,626.3
Vermont,32.8,15.6
Nevada,32.9,72.9
Nebraska,33.3,45.3
Maine,33.8,34.9
Wisconsin,34.3,147.1
South Dakota,38.2,23.7
North Dakota,38.3,20.9
Montana,39.4,30.8
New Hampshire,40.6,41.8
